Ad_Spend_USD,Link_Clicks,Revenue_Generated,Spend_Per_Click,Click_Through_Ratio,Spend_Deviation,Marketing_Channel_Email_Promo,Marketing_Channel_Search_Ads,Marketing_Channel_Social_Media
42.67565675685006,227.67900482976987,397.5940711528568,0.18661816719299656,120690.59332195087,-2.8269713252351636,0,0,1
122.01064783403953,242.9697359930969,1031.8372978362327,0.5001056681780064,370461.0065835169,76.50801975195431,0,1,0
72.29677905010264,209.06209559897368,638.8772277228807,0.344168608067794,187137.02628714545,26.79415096801742,0,0,1
69.73509217405433,247.255731708396,622.2240246526645,0.28090023015446813,212743.03276346685,24.232464091969106,0,1,0
35.95100133032989,263.23337246457476,355.7463396075384,0.13605776210251325,114565.60035504916,-9.551626751755336,0,1,0
16.009168749623065,228.55426093554087,170.60195201432902,0.06974023781731702,45419.805898716186,-29.49345933246216,0,0,1
72.03983641623658,267.09774259350957,647.5951922755828,0.26870735918677074,238754.95643569884,26.53720833415136,0,0,1
39.016104403488555,237.80925867133055,374.23003292956105,0.16337768736674405,116982.91294600668,-6.486523678596669,0,0,1
20.93263746348342,308.90752315504653,216.87439261808666,0.06754478642653292,77563.47252013849,-24.569990618601803,0,0,1
45.11565735883315,231.45130645599204,397.4612674452295,0.19408648652776878,127017.12709755509,-0.3869707232520767,0,1,0
33.590809121545334,304.06180579441417,336.1046015940248,0.11011148719214851,128366.94876541382,-11.91181896053989,0,0,1
42.157896353691775,257.8991271450116,400.4244548954149,0.16283522010516002,134099.3639489776,-3.344731728393448,0,1,0
55.10856929599073,217.57582051432686,532.655544901939,0.25212564302087825,152171.28055509855,9.60594121390551,0,1,0
65.85739825644423,217.93090947266938,600.5350934206763,0.30081361473842344,178674.5958300163,20.354770174359004,0,0,1
130.1618105913782,269.9469098861406,1099.5322644333532,0.48039599582839243,433699.3072400151,84.65918250929299,1,0,0
44.84550077804266,290.245803209109,406.21480613138357,0.15397818709801095,162044.96381141414,-0.6571273040425609,1,0,0
60.42803752732516,255.23475093657743,546.2443125893486,0.235830765758553,192753.9771735649,14.925409445239936,1,0,0
22.23805021112926,245.06903240001307,246.23945491162934,0.09037321760577655,64296.02652604622,-23.264577870955964,0,0,1
42.54446236035556,227.56576050331626,390.68202997570904,0.1861366386053185,121680.22103068908,-2.9581657217296637,0,0,1
25.154184110811507,257.0389609887901,226.19819775938055,0.09748211670990363,82414.91352731595,-20.348443971273717,0,0,1
31.010919483664363,242.57454106289524,319.247567143962,0.1273159310835232,94943.81173770964,-14.49170859842086,1,0,0
21.744741465693732,257.0456944156657,251.82911937896142,0.08426701912207386,70647.70740279065,-23.75788661639149,0,0,1
78.86583296796724,250.2114063625481,696.0717964925352,0.3139420861095301,241255.12087470264,33.36320488588201,0,0,1
13.292081604527498,300.7865584915494,189.90210646940025,0.04404464423785694,46854.512351349294,-32.21054647755773,0,0,1
10.225678509906606,239.5187887079449,134.99680583139906,0.042515092333694375,31977.60949217101,-35.276949572178616,0,1,0
49.09198759766559,262.7425978034096,439.1822899694434,0.18613598260777783,161674.0658732689,3.5893595155803695,1,0,0
21.13812423783692,324.57017504586236,235.91615938414586,0.06492647625004114,87162.96349417492,-24.364503844248304,0,0,1
14.331032102621299,298.32252222227726,183.89884706953245,0.04787822846146892,56161.887626439915,-31.171595979463923,0,0,1
48.14580065991399,225.42555606506406,427.8605910382015,0.21263412795187814,132502.16192070462,2.6431725778287642,1,0,0
52.19846272112571,278.4976492768103,475.50232021717903,0.18675814575252161,181572.2164466162,6.695834639040484,0,0,1
25.05411112079148,246.5400191275817,251.91945065247208,0.10121236642499665,76724.66475011528,-20.448516961293745,1,0,0
53.356048627094026,323.0758739930863,472.7286798484864,0.16464060705806288,210207.21990411554,7.853420545008802,1,0,0
43.47502329912904,294.92418026801346,418.0486348373593,0.14691271007240592,162654.86084218248,-2.027604782956182,0,0,1
40.669078355698865,245.14253846852955,396.49288205712026,0.16522572087188656,120640.23785232246,-4.833549726386359,1,0,0
62.39340282768838,234.08630267151966,542.5432415503583,0.26540637254765603,180004.97698574443,16.890774745603153,0,0,1
32.3106876743628,234.8731569139797,328.23733767981366,0.1369833180557555,93980.09294065033,-13.19194040772242,0,1,0
23.340834990072032,252.30207969602327,265.6759324632542,0.0921462430078835,72761.57104746619,-22.16179309201319,0,1,0
19.28442697673892,246.2395724004784,238.16791465069502,0.07799894972113132,64101.61401097353,-26.218201105346303,0,0,1
50.10322834747426,289.37876593781874,470.5768403437875,0.1725443945105934,177344.1681503399,4.600600265389033,0,0,1
26.03333118798876,262.59971612702367,264.28765218925537,0.09876084682672343,88974.50324411146,-19.469296894096463,0,0,1
12.71778055633454,249.11437808757645,191.03860801303443,0.050847858701995395,36723.357833035596,-32.784847525750685,0,0,1
35.8084116575091,331.4964444389773,363.4789143305681,0.10769562278456478,145580.8078902074,-9.694216424576126,0,1,0
54.82633275266798,256.7776902979277,493.3845536456432,0.21268843199464704,173392.45783859477,9.323704670582757,0,1,0
50.57975601445026,262.7425978034096,507.2422347975964,0.1917769690437029,161362.54904066504,5.077127932365038,0,0,1
39.027383625294576,252.2110877825406,348.6695892911596,0.1541298367582211,119928.84672094058,-6.475244456790648,0,0,1
36.24022737286066,259.8208784398134,382.1319901162606,0.13894680360576808,116330.02810253263,-9.262400709224565,0,1,0
41.29744795561948,286.77550629307194,422.3755736982268,0.14350577812401435,144613.80075979006,-4.205180126465741,0,1,0
26.91668821587575,173.66917343153074,256.1939399989808,0.1541009651965115,58950.406973637655,-18.585939866209472,0,0,1
23.52772925153076,267.0812205993691,250.60762857380539,0.08776343676341099,75650.59178163057,-21.974898830554462,0,1,0
38.22684798371816,175.2662439011901,353.9671162918719,0.2168699300425727,84155.48754124714,-7.275780098367065,0,0,1
81.28745553449646,261.39372955024254,645.9454883277128,0.309791913373188,262428.758330558,35.784827452411236,0,0,1
